	Gene
400	Naa15
401	Atxn2l
402	Ahsa2
403	Hsd17b7
404	Mboat2
405	Kti12
406	Poldip3
407	Bcl2l13
408	Dnajc8
409	Tcp1
410	Dohh
411	Gtf2f1
412	Zfp932
413	Ttll5
414	Zrsr2
415	Casc1
416	Pak1ip1
417	Glmn
418	Uchl5
419	Il3ra
420	Rpf2
421	Triobp
422	St3gal2
423	Cirh1a
424	Adh5
425	Dmpk
426	Cdk9
427	Hjurp
428	Wdr60
429	Ppif
430	Ptcd3
431	Kars
432	Eef2k
433	Aimp1
434	Pla2r1
435	Tbc1d1
436	Afg3l2
437	Pdcd11
438	Tor1a
439	Tma16
440	Nrd1
441	Syt11
442	Fam229b
443	Lemd2
444	Tenm1
445	Cdca4
446	Lin7c
447	Ammecr1
448	Agpat9
449	Samm50
450	Kpna3
451	Phf6
452	Slc8b1
453	Gorab
454	Seh1l
455	Mrpl50
456	Amot
457	Zcchc10
458	Sdad1
459	Eftud2
460	Prpf38b
461	Cdk17
462	Map2
463	Enkd1
464	Ttc14
465	Med25
466	Tagap1
467	Avil
468	Timm50
469	Polr3d
470	AU019823
471	Ddx60
472	Nol8
473	Mcc
474	Gabbr1
475	Pgm2l1
476	Rnf4
477	Slc26a10
478	Mtfr1
479	Gatsl2
480	Thumpd3
481	Traf3ip1
482	Nyap1
483	Epb41l1
484	Abca5
485	Rap1gds1
486	Timm23
487	Mfsd1
488	Bvht
489	Slc19a2
490	Tfip11
491	Rhbdd2
492	Skiv2l
493	Mettl20
494	Tex10
495	Smg5
496	Phykpl
497	Gtf3c4
498	Morc2a
499	Fbxw8
500	Taf5l
501	Pacrgl
502	Def6
503	Disp1
504	Nsun6
505	2510017J16Rik
506	Gm15551
507	B930041F14Rik
508	Mcoln1
509	Eya3
510	Alg10b
