genes	FreqDE	ConsistencyDE	ConsistencyToFreq
Ctsl	Ctsl	3	3	1
Ctxn1	Ctxn1	3	3	1
Cwh43	Cwh43	3	3	1
D1Ertd622e	D1Ertd622e	3	3	1
Dars	Dars	3	3	1
Dctpp1	Dctpp1	3	3	1
Ddb1	Ddb1	3	3	1
Ddx18	Ddx18	3	3	1
Ddx51	Ddx51	3	3	1
Dkc1	Dkc1	3	3	1
Dmpk	Dmpk	3	3	1
Dnttip2	Dnttip2	3	3	1
Dok1	Dok1	3	3	1
Dsc2	Dsc2	3	3	1
Dsg2	Dsg2	3	3	1
Dynll1	Dynll1	3	3	1
Ebp	Ebp	3	3	1
Eef1e1	Eef1e1	3	3	1
Eftud2	Eftud2	3	3	1
Egln3	Egln3	3	3	1
Eif4ebp1	Eif4ebp1	3	3	1
Eif6	Eif6	3	3	1
Emg1	Emg1	3	3	1
Emp3	Emp3	3	3	1
Enkd1	Enkd1	3	3	1
Enpp1	Enpp1	3	3	1
Ephx2	Ephx2	3	3	1
Erh	Erh	3	3	1
F2r	F2r	3	3	1
Fam213a	Fam213a	3	3	1
Fam84a	Fam84a	3	3	1
Fbln2	Fbln2	3	3	1
Fbxw7	Fbxw7	3	3	1
Fermt1	Fermt1	3	3	1
Fkbp4	Fkbp4	3	3	1
Gabbr1	Gabbr1	3	3	1
Gabrp	Gabrp	3	3	1
Galnt7	Galnt7	3	3	1
Gclm	Gclm	3	3	1
Gcnt1	Gcnt1	3	3	1
Gcnt3	Gcnt3	3	3	1
Gcsh	Gcsh	3	3	1
Ghitm	Ghitm	3	3	1
Gldc	Gldc	3	3	1
Glod5	Glod5	3	3	1
Gm11808	Gm11808	3	3	1
Gm2000	Gm2000	3	3	1
Gmps	Gmps	3	3	1
Got1	Got1	3	3	1
Gpat4	Gpat4	3	3	1
Gpd2	Gpd2	3	3	1
Grina	Grina	3	3	1
Gsto1	Gsto1	3	3	1
Hdgf	Hdgf	3	3	1
Hiat1	Hiat1	3	3	1
Hnrnpf	Hnrnpf	3	3	1
Hpse	Hpse	3	3	1
Hsp90ab1	Hsp90ab1	3	3	1
Igf2bp3	Igf2bp3	3	3	1
Igfbp3	Igfbp3	3	3	1
Igfbp4	Igfbp4	3	3	1
Igsf9	Igsf9	3	3	1
Impdh2	Impdh2	3	3	1
Itih2	Itih2	3	3	1
Kars	Kars	3	3	1
Kif23	Kif23	3	3	1
Krt14	Krt14	3	3	1
Krt20	Krt20	3	3	1
Ktn1	Ktn1	3	3	1
Lars	Lars	3	3	1
Ldha	Ldha	3	3	1
Lgals1	Lgals1	3	3	1
Lgals3	Lgals3	3	3	1
Lpcat4	Lpcat4	3	3	1
Lrp1	Lrp1	3	3	1
Lsm3	Lsm3	3	3	1
Lsm8	Lsm8	3	3	1
Marcksl1	Marcksl1	3	3	1
Mboat2	Mboat2	3	3	1
Mcpt2	Mcpt2	3	3	1
Mdk	Mdk	3	3	1
Mfsd1	Mfsd1	3	3	1
Mpp6	Mpp6	3	3	1
Mri1	Mri1	3	3	1
Ms4a8a	Ms4a8a	3	3	1
Msln	Msln	3	3	1
Msmo1	Msmo1	3	3	1
mt-Atp6	mt-Atp6	3	3	1
mt-Co1	mt-Co1	3	3	1
mt-Co3	mt-Co3	3	3	1
Mxi1	Mxi1	3	3	1
Ncl	Ncl	3	3	1
Nhp2	Nhp2	3	3	1
Nme2	Nme2	3	3	1
Nob1	Nob1	3	3	1
Nol8	Nol8	3	3	1
Nop14	Nop14	3	3	1
Nrp2	Nrp2	3	3	1
Nsun2	Nsun2	3	3	1
Nutf2	Nutf2	3	3	1
Osr1	Osr1	3	3	1
Otud4	Otud4	3	3	1
Pabpc1	Pabpc1	3	3	1
Pafah1b3	Pafah1b3	3	3	1
Pak1	Pak1	3	3	1
Palld	Palld	3	3	1
Palmd	Palmd	3	3	1
Pcbp2	Pcbp2	3	3	1
Pdlim1	Pdlim1	3	3	1
Pfdn4	Pfdn4	3	3	1
Pfkl	Pfkl	3	3	1
Pfn2	Pfn2	3	3	1
Pgm1	Pgm1	3	3	1
Phb	Phb	3	3	1
Phka2	Phka2	3	3	1
Pias4	Pias4	3	3	1
Pigf	Pigf	3	3	1
Pitpnc1	Pitpnc1	3	3	1
Pkn2	Pkn2	3	3	1
Plec	Plec	3	3	1
Plekhg6	Plekhg6	3	3	1
Ppm1j	Ppm1j	3	3	1
Ppox	Ppox	3	3	1
Ppp1r18	Ppp1r18	3	3	1
Prdx6	Prdx6	3	3	1
Prkar2b	Prkar2b	3	3	1
Prmt1	Prmt1	3	3	1
Prom1	Prom1	3	3	1
Prpf38b	Prpf38b	3	3	1
Prr13	Prr13	3	3	1
Prrx2	Prrx2	3	3	1
Pthlh	Pthlh	3	3	1
Rap2b	Rap2b	3	3	1
Rbp1	Rbp1	3	3	1
Rdh10	Rdh10	3	3	1
