genes	FreqDE	ConsistencyDE	ConsistencyToFreq
Crem	Crem	4	-4	1
Cyp4v3	Cyp4v3	4	-4	1
Dapk2	Dapk2	4	-4	1
Elf5	Elf5	4	-4	1
Exosc7	Exosc7	4	-4	1
Fbxo4	Fbxo4	4	-4	1
Fdx1	Fdx1	4	-4	1
Gem	Gem	4	-4	1
Gnptab	Gnptab	4	-4	1
Gpx8	Gpx8	4	-4	1
H2-T22	H2-T22	4	-4	1
H2-T23	H2-T23	4	-4	1
Hdc	Hdc	4	-4	1
Hint2	Hint2	4	-4	1
Hpn	Hpn	4	-4	1
Ift20	Ift20	4	-4	1
Igsf5	Igsf5	4	-4	1
Il6	Il6	4	-4	1
Iqgap1	Iqgap1	4	-4	1
Irs2	Irs2	4	-4	1
Itih4	Itih4	4	-4	1
Kctd1	Kctd1	4	-4	1
Klk13	Klk13	4	-4	1
Lamb3	Lamb3	4	-4	1
Lpcat1	Lpcat1	4	-4	1
Lrrfip2	Lrrfip2	4	-4	1
Ly6i	Ly6i	4	-4	1
Me1	Me1	4	-4	1
Mid1ip1	Mid1ip1	4	-4	1
Mitf	Mitf	4	-4	1
Mpc1	Mpc1	4	-4	1
Mpc2	Mpc2	4	-4	1
Mrc2	Mrc2	4	-4	1
Mthfs	Mthfs	4	-4	1
Mylk	Mylk	4	-4	1
Nol3	Nol3	4	-4	1
Paqr8	Paqr8	4	-4	1
Pmvk	Pmvk	4	-4	1
Ppm1h	Ppm1h	4	-4	1
Pros1	Pros1	4	-4	1
Prss8	Prss8	4	-4	1
Rab27a	Rab27a	4	-4	1
Rgs10	Rgs10	4	-4	1
Rnaset2a	Rnaset2a	4	-4	1
Rprm	Rprm	4	-4	1
Sat1	Sat1	4	-4	1
Scamp1	Scamp1	4	-4	1
Scarb2	Scarb2	4	-4	1
Serpinb9	Serpinb9	4	-4	1
Sftpb	Sftpb	4	-4	1
Slc39a8	Slc39a8	4	-4	1
Slco2a1	Slco2a1	4	-4	1
Smpdl3a	Smpdl3a	4	-4	1
Snrpn	Snrpn	4	-4	1
Socs2	Socs2	4	-4	1
Sp110	Sp110	4	-4	1
St14	St14	4	-4	1
Stbd1	Stbd1	4	-4	1
Tc2n	Tc2n	4	-4	1
Tgfbi	Tgfbi	4	-4	1
Tmem163	Tmem163	4	-4	1
Tmem213	Tmem213	4	-4	1
Tmem38b	Tmem38b	4	-4	1
Tmsb4x	Tmsb4x	4	-4	1
Tnfsf9	Tnfsf9	4	-4	1
Trp53i11	Trp53i11	4	-4	1
Ttll7	Ttll7	4	-4	1
Zfp467	Zfp467	4	-4	1
Atp6v1g3	Atp6v1g3	4	-4	1
Cox6a2	Cox6a2	4	-4	1
Nckap5	Nckap5	4	-4	1
Pkib	Pkib	4	-4	1
Tmem56	Tmem56	4	-4	1
Cd79b	Cd79b	4	-4	1
Npr1	Npr1	4	-4	1
Cox4i2	Cox4i2	4	-4	1
Kcnj15	Kcnj15	4	-4	1
Plbd1	Plbd1	4	-4	1
Tspyl4	Tspyl4	4	-4	1
Wipf3	Wipf3	4	-4	1
Kcnj2	Kcnj2	4	-4	1
Alcam	Alcam	5	-3	0.6
Atp6v0d1	Atp6v0d1	5	-3	0.6
Bend7	Bend7	5	-3	0.6
Bmp4	Bmp4	5	-3	0.6
Cadm1	Cadm1	5	-3	0.6
Dclk1	Dclk1	5	-3	0.6
Fxyd4	Fxyd4	5	-3	0.6
Irx5	Irx5	5	-3	0.6
Kcnc3	Kcnc3	5	-3	0.6
Nkx2-1	Nkx2-1	5	-3	0.6
Slc1a3	Slc1a3	5	-3	0.6
Myh13	Myh13	5	-3	0.6
1110032A03Rik	1110032A03Rik	3	-3	1
A230050P20Rik	A230050P20Rik	3	-3	1
Acaa2	Acaa2	3	-3	1
Acaca	Acaca	3	-3	1
Acer3	Acer3	3	-3	1
Acly	Acly	3	-3	1
Acot1	Acot1	3	-3	1
Adam19	Adam19	3	-3	1
Adora2b	Adora2b	3	-3	1
Afap1l1	Afap1l1	3	-3	1
Aif1l	Aif1l	3	-3	1
AK157302	AK157302	3	-3	1
Ank3	Ank3	3	-3	1
Ankrd46	Ankrd46	3	-3	1
Anpep	Anpep	3	-3	1
Anxa6	Anxa6	3	-3	1
Aox3	Aox3	3	-3	1
Armcx3	Armcx3	3	-3	1
Atxn7l1	Atxn7l1	3	-3	1
Azin2	Azin2	3	-3	1
Bambi	Bambi	3	-3	1
Bik	Bik	3	-3	1
Birc3	Birc3	3	-3	1
Bscl2	Bscl2	3	-3	1
C1ra	C1ra	3	-3	1
C3	C3	3	-3	1
Car8	Car8	3	-3	1
Cat	Cat	3	-3	1
Ccdc189	Ccdc189	3	-3	1
Cd55	Cd55	3	-3	1
Cdkn2c	Cdkn2c	3	-3	1
Cds1	Cds1	3	-3	1
Cebpa	Cebpa	3	-3	1
Cgnl1	Cgnl1	3	-3	1
Cish	Cish	3	-3	1
Clic3	Clic3	3	-3	1
Cox6c	Cox6c	3	-3	1
Csrnp1	Csrnp1	3	-3	1
Dag1	Dag1	3	-3	1
Dap	Dap	3	-3	1
Dapk1	Dapk1	3	-3	1
Ddx26b	Ddx26b	3	-3	1
Dhrs3	Dhrs3	3	-3	1
Dhrs7	Dhrs7	3	-3	1
Dnajc3	Dnajc3	3	-3	1
Dopey1	Dopey1	3	-3	1
Eif1b	Eif1b	3	-3	1
Epas1	Epas1	3	-3	1
Erbb3	Erbb3	3	-3	1
Esrp1	Esrp1	3	-3	1
Fam178b	Fam178b	3	-3	1
Fchsd2	Fchsd2	3	-3	1
Fgfr2	Fgfr2	3	-3	1
Fmo2	Fmo2	3	-3	1
Gdnf	Gdnf	3	-3	1
Gja1	Gja1	3	-3	1
Gmpr	Gmpr	3	-3	1
Grb14	Grb14	3	-3	1
Gstt2	Gstt2	3	-3	1
Gstt3	Gstt3	3	-3	1
H2afj	H2afj	3	-3	1
H6pd	H6pd	3	-3	1
Hexim1	Hexim1	3	-3	1
Hfe	Hfe	3	-3	1
Hist1h2ap	Hist1h2ap	3	-3	1
Hsf4	Hsf4	3	-3	1
Icam1	Icam1	3	-3	1
Il10rb	Il10rb	3	-3	1
Il18r1	Il18r1	3	-3	1
Il4i1	Il4i1	3	-3	1
Inpp4b	Inpp4b	3	-3	1
Inpp5b	Inpp5b	3	-3	1
Irf1	Irf1	3	-3	1
Irf2	Irf2	3	-3	1
Isca1	Isca1	3	-3	1
Kcnk1	Kcnk1	3	-3	1
Kif13a	Kif13a	3	-3	1
Klhl13	Klhl13	3	-3	1
Lbp	Lbp	3	-3	1
Lcp1	Lcp1	3	-3	1
Lgals9	Lgals9	3	-3	1
Lrrk2	Lrrk2	3	-3	1
Mageh1	Mageh1	3	-3	1
Map3k1	Map3k1	3	-3	1
Mbip	Mbip	3	-3	1
Mecom	Mecom	3	-3	1
Meis3	Meis3	3	-3	1
Mlycd	Mlycd	3	-3	1
Mme	Mme	3	-3	1
Msrb1	Msrb1	3	-3	1
Mt1	Mt1	3	-3	1
Mthfsl	Mthfsl	3	-3	1
Myo5c	Myo5c	3	-3	1
Nav2	Nav2	3	-3	1
Nedd4l	Nedd4l	3	-3	1
Nfia	Nfia	3	-3	1
Nfkbia	Nfkbia	3	-3	1
