	Gene
0	Clu
1	Tff1
2	Krt19
3	Krt7
4	Gkn2
5	Gsta4
6	Fabp5
7	Spp1
8	Gstm1
9	S100a11
10	Onecut2
11	Lgals3
12	Krt20
13	Plac8
14	Mgst3
15	Cd24a
16	Tm4sf1
17	Sptssb
18	Plaur
19	Vsig2
20	Dmbt1
21	AA467197
22	Mien1
23	Lmo7
24	Anxa2
25	F3
26	Tmsb10
27	Prss22
28	S100a6
29	Aldh1a3
30	Stra8
31	2200002D01Rik
32	Kng2
33	Prr13
34	Msln
35	Krt14
36	Actb
37	Afp
38	Pdlim1
39	Ezr
40	S100a16
41	Anxa10
42	Gm9844
43	Agr2
44	Gsto1
45	Serpinb6a
46	Anxa4
47	Klf6
48	Akr1b8
49	Cldn6
50	Rbp1
51	Cxcl5
52	Prdx1
53	Avpi1
54	Gstp1
55	Mcpt2
56	Cyr61
57	Id2
58	Trib1
59	Aspa
60	Aqp3
61	Tpd52
62	Fam213a
63	Gjb4
64	Gcnt3
65	Cwh43
66	Otop3
67	S100a10
68	Rhof
69	Ms4a8a
70	Ddc
71	Ptprn
72	Cav2
73	Prom1
74	Pmaip1
75	Pam
76	Gabrp
77	Fermt1
78	PISD
79	2210407C18Rik
80	Mrpl14
81	Tspan15
82	Dynll1
83	Fam162a
84	Plscr1
85	Ivl
86	Col18a1
87	Pacrg
88	Tes
89	Lad1
90	Psapl1
91	Ugt2b34
92	Pax9
93	Gpa33
94	Muc5b
95	Eps8l3
96	Ctsd
97	Tspan13
98	Grcc10
99	Sox2
100	Ifi27l2b
101	Pthlh
102	Sgms2
103	Wfdc1
104	Cmbl
105	Rnf128
106	Itga6
107	Hist1h2bc
108	Fam84a
109	Aldoa
110	Pfkl
111	Krt4
112	Ero1l
113	Rap2b
114	Ldha
115	Akr1c13
116	Tuba1c
117	Zfand5
118	Paqr5
119	Il17re
120	Bok
121	Krt17
122	Hspa4l
123	Pafah1b3
124	Lrrc26
125	Adam28
126	Fkbp4
127	Bnip3
128	Syt8
129	Plp2
130	Krt6a
131	Slc44a4
132	Galnt7
133	Hsd17b2
134	1700016C15Rik
135	Glod5
136	Bace2
137	Dynlt1b
138	Dusp10
139	Tgif1
140	Cyp2s1
141	Porcn
142	Pla2g10
143	Ddx39
144	Fam107b
145	Cmpk1
146	Hnf4a
147	Arhgef5
148	Sema4b
149	Ppp1r14d
150	Itga3
151	Clcf1
152	Palmd
153	Pllp
154	Pdx1
155	Fam3b
156	Sgsm3
157	Glipr1
158	Spire2
159	Cdh17
160	Fam83e
161	Rpp21
162	9130008F23Rik
163	Cldn23
164	Dynlt1f
165	Bcas1
166	Pygb
167	Arl14
168	Tpm3
169	Acp5
170	Arpc3
171	Syap1
172	Pkm
173	Edn1
174	Dnajc22
175	Tfap2b
176	Gpc6
177	Vil1
178	Abcc3
179	Misp
180	Slit2
181	Egln3
182	Tceb2
183	Fgfbp1
184	Cycs
185	Msmo1
186	Itih2
187	Atp2c2
188	Serpinb1a
189	Flnb
190	Glmp
191	Gapdh
192	Ywhaq
193	St13
194	Tns4
195	Palld
196	Gale
197	Srd5a1
198	Anxa7
199	Ebp
200	Rnf183
201	Cmas
202	Slc2a1
203	Znhit1
204	Slc25a17
205	Mboat1
206	Car9
207	Card19
208	AI413582
209	Kif23
210	Cd2ap
211	Cuta
212	Mrpl34
213	Psma7
214	B4galt6
215	Dsg2
216	Zfp57
217	Lima1
218	Tpi1
219	Reep6
220	Cfdp1
221	Akr1c12
222	Nudt5
223	Tmprss11e
224	Dync1i2
225	Arhgdig
226	Sod1
227	Acadm
228	Frrs1
229	Tpm3-rs7
230	Lipa
231	H2afz
232	Pifo
233	Igsf9
234	Capzb
235	Gm15217
236	Bag2
237	Sh3yl1
238	Muc3
239	Itgb4
240	Flt1
241	Gadd45gip1
242	Slc9a2
243	Nutf2
244	Phb
245	C1galt1
246	Asl
247	Gipc1
248	Cct3
249	Bcas2
250	Nceh1
251	Vtcn1
252	Cdc123
253	Abcb1b
254	Slc4a11
255	Otop2
256	Ghitm
257	Sema7a
258	Leprotl1
259	Lpcat4
260	Upk3bl
261	Tmem88
262	2700029M09Rik
263	Nr2f6
264	Unc13c
265	Ddb1
266	Grpel1
267	Dnajc10
268	Gm44275
269	Neu1
270	Puf60
271	AI467606
272	Nsun2
273	Hdgf
274	Gcnt1
275	Pir
276	Ccdc102a
277	Cbx5
278	Myo6
279	Syce2
280	Nras
281	Tm9sf3
282	Cars
283	Slc25a24
284	Krtap4-16
285	Cd164
286	Ywhag
287	Snx6
288	Zfand2a
289	Mgat4a
290	Spns2
291	Dusp9
292	Mri1
293	Pgpep1
294	Rpia
295	Dpp3
296	Psma5
297	Slc10a2
298	Mgat3
299	Gclm
300	Asna1
301	Strbp
302	Capn5
303	Mcu
304	Psmd5
305	Prelid2
306	Svip
307	Haus8
308	Magi1
309	Sap30
310	Suox
311	Smim15
312	Dhfr
313	Wdr72
314	Dhcr24
315	Ak3
316	Snrpa
317	Lars
318	Galnt4
319	Dsc2
320	Tcf7l2
321	Styk1
322	Casp6
323	Impa2
324	Pdlim5
325	Twf1
326	Glud1
327	Scamp3
328	Mettl7b
329	F5
330	Pitpna
331	Fam46c
332	Zdhhc12
333	Acsl3
334	Ephx2
335	Thop1
336	Ajuba
337	Fcmr
338	Gstm7
339	Immt
340	Ppp4c
341	Utp14b
342	Susd3
343	Bmp3
344	Ppm1j
345	Cdc5l
346	Zranb2
347	Slc24a5
348	Kpnb1
349	Cab39l
350	Hdac3
351	Rilpl2
352	Tnfrsf22
353	Larp7
354	Enpp1
355	Gins4
356	Gmds
357	Uba6
358	Eno1b
359	Zfp664
360	Plekhg6
361	Eri1
362	Rasa4
363	Bche
364	Fer1l4
365	Mlf2
366	Ccz1
367	E330009J07Rik
368	Psmg3
369	Rnaseh2a
370	Eif6
371	Nt5c2
372	Prrg2
373	Snrnp48
374	Agrn
375	Kif5c
376	Arpc5l
377	Rassf4
378	Plcd3
379	Wdr70
380	Zbtb7b
381	Src
382	Ppm1g
383	Abcf1
384	Srpk1
385	Mrrf
386	Ept1
387	Atp13a1
388	Wipf2
389	Usp53
390	Setd6
391	Aim1
392	Mrpl1
393	Fer
394	Nagpa
395	Gpatch4
396	Comtd1
397	Mtmr11
398	Acp6
399	Pus1
400	Plcg2
401	Rbm34
402	Sox21
403	Hdac6
404	Rpp38
405	Ubqln4
406	Prrg4
407	Fmn1
408	Pdcd2
409	Cyfip1
410	Manba
411	Dap3
412	1700037H04Rik
413	2210016L21Rik
414	Lrwd1
415	2810403A07Rik
416	Nvl
417	Polr2b
418	Ppox
419	Dlgap1
420	Otud4
421	Nfe2l3
422	Flad1
423	Cib3
424	Szrd1
425	Smyd3
426	Atg9b
427	Pigf
428	Entpd7
429	Srbd1
430	Mrps10
431	Ipo4
432	Noc4l
433	Cacna1a
434	Vangl1
435	Cdk19
436	Rbm45
437	2610035D17Rik
438	Ascc3
439	Btbd11
440	Nelfe
441	Setdb1
442	Slc25a13
443	Ddx51
444	Lss
445	Casp3
446	Trim37
447	4933431E20Rik
448	Taf4a
449	Utp20
450	1700049G17Rik
