tumor,expansion,type,count
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,1.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,5
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3430_NT_T2,2.0,expanding,1
3430_NT_T2,2.0,expanding,3
3430_NT_T2,2.0,expanding,6
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,6
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,6
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,6
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,3
3432_NT_T1,,non-expanding,3
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,0
3432_NT_T1,,non-expanding,3
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,3
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,3
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,12
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,6
3432_NT_T1,1.0,expanding,9
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,0
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,1.0,expanding,4
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,6
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,6
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,0
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,6
3432_NT_T1,2.0,expanding,6
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,6
3432_NT_T1,2.0,expanding,6
3432_NT_T1,2.0,expanding,6
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T1,2.0,expanding,3
3432_NT_T2,,non-expanding,0
3432_NT_T2,,non-expanding,2
3432_NT_T2,,non-expanding,2
3432_NT_T2,,non-expanding,0
3432_NT_T2,,non-expanding,0
3432_NT_T2,,non-expanding,2
3432_NT_T2,,non-expanding,0
3432_NT_T2,,non-expanding,0
3432_NT_T2,,non-expanding,0
3432_NT_T2,,non-expanding,2
3432_NT_T2,,non-expanding,0
3432_NT_T2,,non-expanding,0
3432_NT_T2,,non-expanding,2
3432_NT_T2,,non-expanding,0
